"config_id","hamming","state","adj_sets","HEE_EC","EC_ED","EC_P","EC_MH","PH_MH","SA_MH","SI_MH","EC_PH"
245,2,"cyclic","","reversed","original","original","original","original","reversed","original","original"
246,2,"cyclic","","latent","original","original","original","original","reversed","original","original"
247,2,"cyclic","","original","reversed","original","original","original","reversed","original","original"
248,3,"cyclic","","reversed","reversed","original","original","original","reversed","original","original"
249,3,"cyclic","","latent","reversed","original","original","original","reversed","original","original"
250,2,"cyclic","","original","latent","original","original","original","reversed","original","original"
251,3,"cyclic","","reversed","latent","original","original","original","reversed","original","original"
252,3,"cyclic","","latent","latent","original","original","original","reversed","original","original"
253,2,"cyclic","","original","original","reversed","original","original","reversed","original","original"
254,3,"cyclic","","reversed","original","reversed","original","original","reversed","original","original"
255,3,"cyclic","","latent","original","reversed","original","original","reversed","original","original"
256,3,"cyclic","","original","reversed","reversed","original","original","reversed","original","original"
257,4,"cyclic","","reversed","reversed","reversed","original","original","reversed","original","original"
258,4,"cyclic","","latent","reversed","reversed","original","original","reversed","original","original"
259,3,"cyclic","","original","latent","reversed","original","original","reversed","original","original"
260,4,"cyclic","","reversed","latent","reversed","original","original","reversed","original","original"
261,4,"cyclic","","latent","latent","reversed","original","original","reversed","original","original"
262,2,"cyclic","","original","original","latent","original","original","reversed","original","original"
263,3,"cyclic","","reversed","original","latent","original","original","reversed","original","original"
264,3,"cyclic","","latent","original","latent","original","original","reversed","original","original"
265,3,"cyclic","","original","reversed","latent","original","original","reversed","original","original"
266,4,"cyclic","","reversed","reversed","latent","original","original","reversed","original","original"
267,4,"cyclic","","latent","reversed","latent","original","original","reversed","original","original"
268,3,"cyclic","","original","latent","latent","original","original","reversed","original","original"
269,4,"cyclic","","reversed","latent","latent","original","original","reversed","original","original"
270,4,"cyclic","","latent","latent","latent","original","original","reversed","original","original"
271,2,"cyclic","","original","original","original","reversed","original","reversed","original","original"
272,3,"cyclic","","reversed","original","original","reversed","original","reversed","original","original"
273,3,"cyclic","","latent","original","original","reversed","original","reversed","original","original"
274,3,"cyclic","","original","reversed","original","reversed","original","reversed","original","original"
275,4,"cyclic","","reversed","reversed","original","reversed","original","reversed","original","original"
276,4,"cyclic","","latent","reversed","original","reversed","original","reversed","original","original"
277,3,"cyclic","","original","latent","original","reversed","original","reversed","original","original"
278,4,"cyclic","","reversed","latent","original","reversed","original","reversed","original","original"
279,4,"cyclic","","latent","latent","original","reversed","original","reversed","original","original"
280,3,"cyclic","","original","original","reversed","reversed","original","reversed","original","original"
281,4,"cyclic","","reversed","original","reversed","reversed","original","reversed","original","original"
282,4,"cyclic","","latent","original","reversed","reversed","original","reversed","original","original"
283,4,"cyclic","","original","reversed","reversed","reversed","original","reversed","original","original"
284,5,"cyclic","","reversed","reversed","reversed","reversed","original","reversed","original","original"
285,5,"cyclic","","latent","reversed","reversed","reversed","original","reversed","original","original"
286,4,"cyclic","","original","latent","reversed","reversed","original","reversed","original","original"
287,5,"cyclic","","reversed","latent","reversed","reversed","original","reversed","original","original"
